u,x,y
2.0000394174752922,1.9999783621118827,1.9999783621118827
2.0000303969052267,1.9999833138771694,1.9999833138771694
2.000023440665352,1.9999871324459386,1.9999871324459386
2.000018076339945,1.9999900771467884,1.9999900771467884
2.000013939624191,1.99999234796175,1.99999234796175
2.0000107495833332,1.9999940991075724,1.9999940991075724
2.0000082895736817,1.9999954495089667,1.9999954495089667
2.0000063925298033,1.999996490875084,1.999996490875084
2.0000049296186817,1.9999972939277133,1.9999972939277133
2.000003801490348,1.9999979132041759,1.9999979132041759
2.0000029315307732,1.999998390761092,1.999998390761092
2.0000022606588175,1.9999987590305515,1.9999987590305515
2.000001743313881,1.9999990430226584,1.9999990430226584
2.000001344361769,1.9999992620240303,1.9999992620240303
2.0000010367086416,1.9999994309076001,1.9999994309076001
2.0000007994610027,1.9999995611426755,1.9999995611426755
2.000000616506769,1.9999996615738476,1.9999996615738476
2.0000004754210585,1.9999997390216495,1.9999997390216495
2.0000003666223862,1.999999798745756,1.999999798745756
2.0000002827219614,1.9999998448021814,1.9999998448021814
2.000000218021895,1.9999998803187329,1.9999998803187329
2.0000001681282438,1.999999907707429,1.999999907707429
2.0000001296526033,1.999999928828305,1.999999928828305
2.0000000999819965,1.9999999451157322,1.9999999451157322
2.000000077101419,1.999999957675831,1.999999957675831
2.000000059456992,1.9999999673615891,1.9999999673615891
2.000000045850439,1.9999999748307908,1.9999999748307908
2.0000000353577048,1.9999999805906883,1.9999999805906883
2.000000027266201,1.9999999850324506,1.9999999850324506
2.000000021026413,1.9999999884577289,1.9999999884577289
2.000000016214582,1.9999999910991426,1.9999999910991426
2.000000012503924,1.999999993136077,1.999999993136077
2.0000000096424384,1.999999994706865,1.999999994706865
2.0000000074357955,1.999999995918183,1.999999995918183
2.0000000057341363,1.9999999968522943,1.9999999968522943
2.0000000044218966,1.9999999975726372,1.9999999975726372
2.0000000034099585,1.9999999981281318,1.9999999981281318
2.0000000026296,1.9999999985565031,1.9999999985565031
2.000000002027824,1.9999999988868429,1.9999999988868429
2.000000001563763,1.9999999991415853,1.9999999991415853
2.0000000012059003,1.9999999993380309,1.9999999993380309
2.000000000929934,1.9999999994895206,1.9999999994895206
2.000000000717121,1.999999999606342,1.999999999606342
2.0000000005530105,1.9999999996964295,1.9999999996964295
2.0000000004264553,1.9999999997659006,1.9999999997659006
2.0000000003288623,1.9999999998194735,1.9999999998194735
2.0000000002536034,1.9999999998607865,1.9999999998607865
2.0000000001955667,1.999999999892645,1.999999999892645
2.000000000150812,1.999999999917213,1.999999999917213
2.000000000116299,1.9999999999361584,1.9999999999361584
2.0000000000896843,1.9999999999507683,1.9999999999507683
2.0000000000691602,1.9999999999620346,1.9999999999620346
2.0000000000533333,1.9999999999707228,1.9999999999707228
2.0000000000411284,1.9999999999774227,1.9999999999774227
2.000000000031716,1.9999999999825895,1.9999999999825895
2.0000000000244578,1.9999999999865739,1.9999999999865739
2.0000000000188605,1.9999999999896463,1.9999999999896463
2.0000000000145444,1.9999999999920155,1.9999999999920155
14.024000000011213,3.1442348855294653,3.1442348855294653
12.416578832808204,4.026615076411153,4.026615076411153
11.177011140657608,4.707065227950358,4.707065227950358
10.221114767775333,5.231796419237732,5.231796419237732
9.48397239025483,5.63644446360517,5.63644446360517
8.915522817527453,5.948490026226811,5.948490026226811
8.477161211156574,6.189124905122797,6.189124905122797
8.139117333283492,6.374691219396897,6.374691219396897
7.878433774991235,6.517791243596459,6.517791243596459
7.67740686099569,6.628143259833995,6.628143259833995
7.5223843485852,6.713241550737894,6.713241550737894
7.402838269523402,6.778865355011454,6.778865355011454
7.310649949279906,6.829471350050739,6.829471350050739
7.2395586474487175,6.868496316101786,6.868496316101786
7.184736375140208,6.898590536640343,6.898590536640343
7.142460014127643,6.921797785780256,6.921797785780256
7.109858470535894,6.939694126107528,6.939694126107528
7.084717691644141,6.953494943049623,6.953494943049623
7.065330304003886,6.964137484752912,6.964137484752912
7.050379661419106,6.972344512958665,6.972344512958665
7.038850428195664,6.9786733875685005,6.9786733875685005
7.029959625143768,6.983553918355383,6.983553918355383
7.023103455494354,6.987317554425011,6.987317554425011
7.017816299543741,6.990219893757173,6.990219893757173
7.013739093249921,6.99245804150663,6.99245804150663
7.010594943291483,6.994183995909305,6.994183995909305
7.008170322546606,6.995514970864303,6.995514970864303
